Programs
.net Framework
Access
Acrobat
Acrobat Reader
Acrobat Reader Dc
Chrome
Edge
Excel
Firefox
Firefox Esr
Flash Player
Internet Explorer
JDK
JRE
Mysql Server
Mysql Workbench
Office
Outlook
PHP
Powerpoint
Project
Publisher
python
SharePoint
Thunderbird
Visio
Wireshark
Word
